Outcome area,Outcomes,Indicators,Case study interview,Survey,Group discussion,Creative,Observation,Source of information,Example questions,Type of response,Examples of indicative answers,Optional follow up questions,Comments
"1
YP have better physical and emotional well-being","1.1
Improved physical health",1.1a YP report they enjoy taking part in physical activities/sport,X,,X,,,YP,How much do you enjoy physical activities/sport? What is your favourite physical or sport activity?,Open,(Very) enjoyable; able to name favourite activity(-ies); shares examples of engaging with sport ,"- Why do you say that?
- Do you play the sport here or somewhere else?
- Why do you enjoy it/not enjoy it do you think?",Only applicable to YOs that have physical activities and/or sport within their programme
,,,,X,X,,,YP,How much do you enjoy physical activities/sport? Rate from 1 to 10.,1-10 scale,7 or above,,As above
,,1.1b YP report an increase in physical activity,,X,,,,YP,Do you feel you are more physically active than you were 6 months ago? ,Yes/No/Don't know,Yes,- Why do you think that is?,As above
,,,X,,X,,,YP,Have you started any new physical activities/sport since you joined the youth club? What have you started doing and why?,Open,Yes; able to name activities and explain why it attracted them,,As above
,,1.1c Number of YP taking part in sport activities in YO in the last 6/9/12 months,,,,,X,YO,,,Stable or increasing numbers over time,,"As above
YOs are free to choose the time period they are reporting"
,,1.1d YP report an increase in healthy eating habits,,X,,,,YP,Do you feel you are now eating more healthily than you were 6 months ago? ,Yes/No/Don't know,Yes,,"Only applicable if the YO is intentionally working with encouraging healthy eating habits. 
Requires a definition of healthy eating "
,,1.1e YP are able to name healthy eating habits that they have taken up,X,,X,,,YP,Have you taken up any new healthy eating habits since you joined the youth club? What have you started doing and why?,Open,"Yes, able to name specific habits",- Why do you think that is?,As above
,"1.2
Improved emotional well-being

Note: These questions and conversations should be followed up by YW presenting options of where YP can find support for their wellbeing, mental and emotional health (in or beyond YO)",1.2a Number of 1:1 conversations with YP around their well-being in the last 6/9/12 months ,,,,,X,YO,,,,"- How many times have YP asked for help when they needed it?
- How many referrals have been made to other more focused organisations?",These conversations can be initiated by both YP and YW
,,1.2b YP have access tools and resources to manage their mental health,,X,X,X,,YP,Do you know where to go if you need help with your mental health/wellbeing? How did you learn about it?,"Yes/No/Don't know, Open",Yes; attributes learning about support to YO; able to name specific resources or support,- How would you say your sleep/other related concepts are?,
,,1.2c YP report feeling satisfied with their life,X,,X,X,,YP,How happy are you with your life at this current moment? How happy are you in comparison to 6/9/12 months ago?,Open,Happy or happier; content; satisfied; shares examples of positive things that have happened ,,"To present this question in group settings, YP should have the choice to share their answers anonymously (e.g. through post-it notes, drawings, photographs)"
,1.3 Improved sense of safety ,1.3a YP feel that YO is a safe space to talk about their well-being,X,,,,,YP,Would you talk about your mental health/wellbeing at your youth club (e.g. with youth workers)? Why/why not?,"Yes/No, Open",Yes; able to name reasons or examples,- Why do you think that is?,"Note: if the YP does not feel like they can talk about their wellbeing BUT is able to explain why or give examples, it can show their higher self-awareness (Outcome 2.2)"
,,,,X,,,,YP,Would you talk about your mental health/wellbeing at your youth club (e.g. with youth workers)? Why/why not?,"Yes/No/Don't know, Open",Yes; able to name reasons of examples,,As above
,,1.3b YP feel that YO is a physically safe space to spend time at,X,X,,,,YP,Do you feel physically safe when spending time at your youth club? Why/why not?,"Yes/No/Don't know, Open",Yes,,"The YO should be prepared to address concerns if YP say that they do not feel physically safe (e.g., an anonymous survey might not be a good tool to ask this question)"
,,1.3c YP are able to reflect on what helps them to feel physically and emotionally safe at the YO,X,,,,,YP,When do you feel safe at your youth club? What helps you feel safe at your youth club? ,Open,Able to name reasons and examples,,As above (both related to emotional and physical safety)
,"1.4
Improved resilience",1.4a YP report being able to solve problems,X,,X,X,,YP,How do you feel when you encounter a new problem? How do you approach it?,Open,"Taking action/initiative to tackle the problem, finding support from others; asking for help",,
